OBJECTID,Type,Description,IsConcealed,LocationConfidenceMeters,ExistenceConfidence,IdentityConfidence,Label,Symbol,DataSourceID,Notes,ContactsAndFaults_ID,Shape_Length
"195",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0195,"2456.199058588018"
"196",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0196,"1038.226213904847"
"197",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0197,"790.1559357504394"
"198",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,scratch boundary,CAF0198,"434.3064340199792"
"199",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0199,"1384.092246182757"
"200",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0200,"664.4535777771505"
"201",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0201,"224.7454754005355"
"202",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0202,"2217.120685477526"
"203",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0203,"7030.586739280621"
"204",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0204,"1469.006088811411"
"205",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0205,"21341.68867909451"
"206",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0206,"1356.398951554931"
"207",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0207,"854.8653440642719"
"208",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0208,"14611.97244894778"
"209",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0209,"1041.181442489348"
"210",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0210,"544.2413796081187"
"211",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0211,"2683.552215207577"
"212",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0212,"1143.5293869488"
"213",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0213,"1087.679080963961"
"214",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0214,"720.0408663816432"
"215",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0215,"4389.361886289751"
"216",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0216,"1101.36044697488"
"217",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0217,"12047.77648703703"
"218",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0218,"11238.68962714212"
"219",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0219,"2008.845296417739"
"220",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0220,"3259.157536722123"
"221",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0221,"4172.979219665612"
"222",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0222,"9368.158586652915"
"223",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0223,"396.8320122347625"
"224",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0224,"178.3385988157114"
"225",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0225,"672.4230131609686"
"226",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0226,"1044.439118889676"
"227",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0227,"1431.885652727041"
"228",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0228,"3270.306399065983"
"229",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0229,"218.5989469270551"
"230",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0230,"1119.074591801646"
"231",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0231,"3924.533517398881"
"232",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0232,"4349.408794917437"
"233",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0233,"8309.850885310392"
"234",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0234,"1608.763359973636"
"235",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0235,"4790.458869922311"
"236",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0236,"863.4446723003504"
"237",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0237,"4686.579813857155"
"238",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0238,"2073.573419941118"
"239",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0239,"250.7270499754799"
"240",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0240,"10212.42063666205"
"241",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0241,"3431.868164276793"
"242",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0242,"534.5545711041833"
"243",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0243,"13284.81885326117"
"244",contact,"contact, certain",N,"-9",certain,certain,,01.01.01,DAS01,,CAF0244,"12653.02161953206"
